"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"158","Sierra Leone",2022-05-01,120,7681,0,125,0,962.9,0,15.7,0,104,103
"159","Singapore",2022-05-01,120,1193250,11082,1336,11,203974.4,1894.4,228.4,1.9,113,106
"160","Slovakia",2022-05-01,120,2528216,7510,19879,40,463043.2,1375.5,3640.8,7.3,110,106
"161","Slovenia",2022-05-01,120,1010555,6089,6593,15,486077.4,2928.8,3171.2,7.2,111,109
"162","Solomon Islands",2022-05-01,120,15677,3240,141,2,22819.5,4716.2,205.2,2.9,14,12
"163","Somalia",2022-05-01,120,26485,0,1361,0,1666.5,0,85.6,0,106,105
"164","South Africa",2022-05-01,120,3795763,32852,100363,60,63999.8,553.9,1692.2,1,110,108
"165","South Sudan",2022-05-01,120,17461,39,138,0,1559.9,3.5,12.3,0,103,100
"166","Spain",2022-05-01,120,11893480,107444,104462,554,254378.8,2298,2234.2,11.8,112,112
"167","Sri Lanka",2022-05-01,120,663373,242,16505,3,30979.9,11.3,770.8,0.1,109,100
"168","Sudan",2022-05-01,120,62117,24,4931,1,1416.6,0.5,112.5,0,105,106
"169","Summer Olympics 2020",2022-05-01,120,865,0,0,0,NA,NA,NA,NA,39,0
"170","Suriname",2022-05-01,120,79336,34,1328,1,135155,57.9,2262.4,1.7,99,96
"171","Sweden",2022-05-01,120,2500917,2529,18772,83,247640.1,250.4,1858.8,8.2,112,110
"172","Switzerland",2022-05-01,120,3619598,22743,13712,36,418208.9,2627.7,1584.3,4.2,112,111
"173","Syria",2022-05-01,120,55813,16,3150,0,3189.1,0.9,180,0,100,95
"174","Taiwan",2022-05-01,120,132955,76487,868,12,5582.4,3211.4,36.4,0.5,110,60
"175","Tajikistan",2022-05-01,120,17786,0,125,0,1864.8,0,13.1,0,103,103
"176","Tanzania, United Republic of",2022-05-01,120,33872,8,803,0,567,0.1,13.4,0,106,105
"177","Thailand",2022-05-01,120,4262484,81616,28617,718,61067.1,1169.3,410,10.3,111,108
